LONG,LAT,CASES,N
36.96661,8.30367,8,30
36.9667,6.2833,5,30
36.96766,8.30088,7,30
36.9685,8.1343,7,30
36.96852,8.30384,6,32
36.97218,9.95019,1,85
36.977208,7.208728,1,16
36.977209,7.705359,3,35
36.977221,12.54167,5,38
36.9799,7.72414,2,31
36.982035,10.585209,5,33
36.98364,7.61106,2,50
36.98813,10.22275,3,30
36.9906,9.25032,2,32
36.99143,9.27151,0,29
36.99434,9.26771,1,30
36.99449,9.25978,2,35
36.99809,8.1701,7,33
36.99896,9.27195,1,30
36.999938,8.918372,0,34
37,5.2167,4,30
37,6.85,4,30
37.00673,9.03747,14,30
37.0068,9.03746,13,32
37.00913,9.27513,1,30
37.00994,9.02621,8,35
37.01108,9.02707,8,33
37.01377,7.73904,1,32
37.01741,9.27626,0,30
37.01928,8.1969,8,30
37.02125,9.01895,9,33
37.0222,13.35827,0,299
37.02407,9.23129,2,32
37.02469,9.23571,2,31
37.02505,13.35568,15,62
37.02515,9.2288,5,32
37.025372,11.37522,0,50
37.02698,8.21398,8,31
37.02975,9.23806,1,30
37.03094,9.14942,9,25
37.0333,6.8333,7,30
37.033358,11.751866,0,43
37.03698,7.75085,4,33
37.03838,7.12777,6,50
37.03839,9.11649,12,30
37.03943,8.24018,4,30
37.04001,9.13513,16,36
37.04192,9.11772,12,30
37.04244,9.11742,13,33
37.04245,9.11745,14,32
37.04564,9.11623,7,26
37.04592,8.43691,6,30
37.04805,9.11465,12,31
37.04888,8.23649,7,30
37.05,11.5,0,39
37.050161,11.535344,0,38
37.051875,9.144331,10,30
37.051997,8.242041,2,30
37.05301,7.11985,2,50
37.05943,7.53513,5,31
37.0647,7.51419,4,35
37.0657,7.54575,1,35
37.0667,9.1,0,50
37.07439,8.25124,8,31
37.075385,10.701892,7,48
37.07633,8.25657,5,30
37.08241,13.31147,2,40
37.08483,8.26863,6,30
37.09566,7.71497,2,31
37.09682,7.62809,4,30
37.1,7.0833,9,32
37.10039,7.0904,2,50
37.108337,12.792536,2,33
37.108881,9.369099,0,31
37.1167,8.4,0,30
37.11781,12.54686,3,47
37.12238,7.62982,3,35
37.12431,8.54943,2,28
37.13193,7.62703,3,33
37.13193,8.24135,9,30
37.14858,8.24,12,33
37.14973,13.24996,2,43
37.15,6.4667,9,35
37.15,7.15,9,35
37.15303,9.34465,0,21
37.1548,8.23468,8,30
37.158728,6.202664,0,34
37.16029,8.2328,12,35
37.161643,7.135209,1,40
37.168542,12.520911,2,37
37.18799,7.75907,1,30
37.19518,7.61327,4,34
37.19986,7.93952,1,30
37.20232,9.96265,2,30
37.20261,7.93912,0,35
37.20319,7.78953,2,30
37.203692,10.999998,1,31
37.20718,7.80586,5,34
37.21172,8.02735,0,35
37.22082,9.4862,0,30
37.23293,8.78035,2,32
37.23444,7.83654,3,34
37.23635,8.78134,6,32
37.23648,7.90512,2,32
37.23665,8.77964,4,31
37.23846,8.78673,1,31
37.23847,8.78744,3,33
37.24211,8.02616,3,30
37.25,8.7833,0,40
37.25404,8.97802,0,43
37.25856,7.90381,2,31
37.26106,7.90748,1,32
37.26335,7.92314,0,33
37.268664,7.666614,4,33
37.27193,7.747,4,30
37.2785,8.83222,3,32
37.28411,8.83046,0,34
37.28907,8.91853,2,35
37.29547,8.91844,0,16
37.29789,8.81065,8,39
37.300086,9.192107,1,32
37.30085,8.91259,0,32
37.3046,8.81149,7,33
37.30489,8.91895,0,20
37.30577,8.80981,0,130
37.30594,8.91891,0,17
37.30606,9.45898,2,30
37.3167,6.9667,6,30
37.3167,8.5667,4,40
37.31999,7.75847,4,32
37.32065,7.74854,8,31
37.32431,8.54081,0,38
37.325349,9,5,30
37.34238,8.50625,2,42
37.343785,6.953072,0,32
37.35158,9.86669,2,31
37.3566,8.4902,2,38
37.368591,11.359021,0,19
37.37315,8.85037,1,27
37.376054,10.675187,0,12
37.37648,8.85908,7,61
37.37907,8.47772,0,21
37.38133,8.46667,0,50
37.3833,6.9333,10,30
37.3846,8.41861,0,33
37.38592,8.8388,3,46
37.38822,8.83876,2,33
37.38875,8.83416,1,99
37.38924,8.82909,3,30
37.392211,9.350054,0,30
37.39228,8.82604,7,33
37.39244,8.8267,2,91
37.39357,8.8349,14,40
37.39725,8.83869,8,40
37.39941,8.8387,0,58
37.408538,6.922024,0,30
37.409331,6.575372,1,35
37.40956,9.00583,0,19
37.41481,9.78708,1,30
37.415947,8.552464,13,32
37.42188,9.61743,2,30
37.42641,8.1,13,34
37.43231,9.69382,1,30
37.4333,7.2833,5,30
37.43395,8.09689,24,168
37.435216,10.292164,2,30
37.43832,8.15134,2,35
